Unnamed: 0,Unnamed: 0.1,id,app,reviewText,date,ratingStars
463752,643634,ea55cd91-dff2-11e6-8f37-fa163e345ce9,com.bloomberg.android.plus,I love the the range if business information presented in this app. It covers a multitude of business sectors with regular updates and great information.,January 21 2017,5
463753,643635,ea8cbc12-dff2-11e6-8f37-fa163e345ce9,com.bloomberg.android.plus,Reverse alchemy. Took something that was good and transformed it into something mediocre and almost pointless relative to peer group,January 21 2017,1
463754,643636,eac61b93-dff2-11e6-8f37-fa163e345ce9,com.bloomberg.android.plus,Comprehensive business coverage,January 21 2017,5
463755,643637,eafeded4-dff2-11e6-8f37-fa163e345ce9,com.bloomberg.android.plus,You guys better fix this crash in latest update and bring back old one or I am going to stop reading Bloomberg,January 21 2017,1
463756,643638,ec007055-dff2-11e6-8f37-fa163e345ce9,com.bloomberg.android.plus,Use to be good  now close suddenly after 10-15 seconds with no reason...,January 21 2017,2
463757,643639,ec375ed6-dff2-11e6-8f37-fa163e345ce9,com.bloomberg.android.plus,Crashes far too frequently on Android 7,January 20 2017,1
463758,643640,ec6ee997-dff2-11e6-8f37-fa163e345ce9,com.bloomberg.android.plus,This new App does not have Chromecast support. It does not have the ability to take articles offline for reading like its predecessor did. On tablets it does not fill in the full screen. Appears to have been built only for smartphones. Very Horrid update. I am changing my review to a single star.,January 20 2017,1
463759,643641,eca84918-dff2-11e6-8f37-fa163e345ce9,com.bloomberg.android.plus,App keeps force closing when I scroll past half the page.,January 20 2017,1
463760,643642,eda14f19-dff2-11e6-8f37-fa163e345ce9,com.bloomberg.android.plus,The major update really messed things up. The other reviewers be have already articulated the issues.,January 20 2017,2
463761,643643,edd7a15a-dff2-11e6-8f37-fa163e345ce9,com.bloomberg.android.plus,Great for financial news,January 20 2017,4
463762,643644,ee0fc85b-dff2-11e6-8f37-fa163e345ce9,com.bloomberg.android.plus,Watch list on my gear s2 app does not work..,January 20 2017,3
463763,643645,ee461a9c-dff2-11e6-8f37-fa163e345ce9,com.bloomberg.android.plus,Keep crashing on Android 6...Uninstalled!,January 20 2017,1
463764,643646,ee80165d-dff2-11e6-8f37-fa163e345ce9,com.bloomberg.android.plus,Four stars for the old version. Won't be downloading any updates  based on comments here. New layout (based on preview screens shown here) looks like a significant step backwards.,January 20 2017,4
463765,643647,ef85515e-dff2-11e6-8f37-fa163e345ce9,com.bloomberg.android.plus,Outstanding. A daily fix for me.,January 20 2017,5
463766,643649,eff77420-dff2-11e6-8f37-fa163e345ce9,com.bloomberg.android.plus,Lousy version compared to old More difficult to access  no functionality for text to speech. Previous version way cooler,January 19 2017,1
463767,643650,f02efee1-dff2-11e6-8f37-fa163e345ce9,com.bloomberg.android.plus,This version is really awful. The design is poor. Untested  junk software.,January 19 2017,1
463768,643651,f065ed62-dff2-11e6-8f37-fa163e345ce9,com.bloomberg.android.plus,Unable to edit my watchlist,January 19 2017,2
463769,643652,f168b763-dff2-11e6-8f37-fa163e345ce9,com.bloomberg.android.plus,Stopped using this app after chromecast support removed. Put it back!,January 19 2017,1
