IS_ANDROID VERSION,IS_APP USABILITY,IS_BATTERY,IS_COMPLAINT,IS_DEVICE,IS_HARDWARE,IS_LICENSING,IS_MEMORY,IS_PERFORMANCE,IS_PRICE,IS_PRIVACY,IS_SECURITY,IS_UI,Unnamed: 0,_id,app,appVersion,author,date,ratingStars,reviewText
0,0,0,0,0,0,0,0,0,0,0,0,0,5929,5729bd98507c690b8e0bd199,Turbo Editor ( Text Editor ),2.4,Live Tea,31.12.15,3,"Not that bad. Lacking some features, but it's ok."
0,0,0,1,0,0,0,0,1,0,0,0,1,5930,5729bdba507c690b8e0bd1bd,Turbo Editor ( Text Editor ),2.4,Yair Vers,08.10.15,4,"4 It's suits my needs for some tasks. Just wish the Syntax highlight feature would not cause freeze, and slow the experience."
0,0,0,1,0,0,0,0,0,0,0,0,1,5931,5729bdc3507c690b8e0bd1c9,Turbo Editor ( Text Editor ),2.4,michael cooley,24.09.15,4,"I love it but...... The app works great but when I'm making a site using html and css it wont show my pictures on the browser webpage, it will only show the copied url code from the picture, fix this and ill for sure give you five stars! _Ù÷_"
0,0,0,1,0,0,0,0,0,0,0,0,1,5932,5729bd6a507c690b8e0bd16e,Turbo Editor ( Text Editor ),2.4,Donovan Magryta,28.04.16,5,Please add a timestamp button! I'd like to be able to easily hit a button that adds a timestamp to that section of the text!
0,0,0,1,0,0,0,0,0,0,0,0,1,5933,5729bd6a507c690b8e0bd170,Turbo Editor ( Text Editor ),2.4,Sareth Metzler,27.04.16,1,Can't use sliding to write
0,0,0,1,0,0,0,0,0,0,0,0,0,5935,5729bd86507c690b8e0bd17c,Turbo Editor ( Text Editor ),2.4,Makaru Kitae,24.03.16,3,Cannot open large file
0,0,0,1,0,0,0,0,1,0,0,0,1,5936,5729bd8f507c690b8e0bd18a,Turbo Editor ( Text Editor ),2.4,Hamza Abbad,12.02.16,2,"Very poor performances It freezes when you try to scroll the code view in a medium sized file, and when even you try to open a second file. Without mentioning that it may crash at any time. It can't be used for serious coding."
0,0,0,1,0,0,0,0,1,0,0,0,1,5937,5729bd93507c690b8e0bd18d,Turbo Editor ( Text Editor ),2.4,Roman Metalnikov,06.02.16,1,Text markup slows down the app Please allow option to disable text color mark up. This slows down the view and causes missing letters when editing text.
0,0,0,1,0,0,0,0,0,0,0,0,1,5938,5729bd98507c690b8e0bd19b,Turbo Editor ( Text Editor ),2.4,Joe Moore,25.12.15,1,"Don't waste your time I installed, opened a new file, and pasted. The app would not let me scroll to the top of the page. I was unable to even see the first few lines let alone edit."
0,0,0,1,0,0,0,0,1,0,0,0,1,5939,5729bd9b507c690b8e0bd19f,Turbo Editor ( Text Editor ),2.4,Al Zuniga,11.12.15,2,Slooooow... App slows to a snails pace when typing in code. Would be nice if it could use my phone's Swype feature.
0,0,0,1,0,0,0,0,0,0,0,0,0,5940,5729bd9f507c690b8e0bd1a1,Turbo Editor ( Text Editor ),2.4,Garfield Davidson,08.12.15,3,"No CF for Windows It bugs me that I can't read files I type on my phone in Notepad (because it doesn't see the newlines). In light of this, a CRLF option would be nice."
0,0,0,1,0,0,0,0,0,0,0,0,0,5941,5729bda6507c690b8e0bd1a6,Turbo Editor ( Text Editor ),2.4,valeria sejas,14.11.15,3,Can't Create A .js It does not let me create a .js
0,0,0,1,0,0,0,0,0,0,0,0,0,5942,5729bdb2507c690b8e0bd1b2,Turbo Editor ( Text Editor ),2.4,IsmÌ_ÌÇl ÌÐmÌãR,01.11.15,5,This app is very good but i cann't run the code how can i know if the code is not working so go back and make same changes thanks you will get 5 sters its very good app
